"ID","Domain","Layer","Indicator_Name_EN","Indicator_Name_JP","Definition","Data_Source","Update_Frequency","Threshold","Decision_Owner","Action_Trigger","Rationale"
"T-LVS-01","LVS","Micro","Class- and Unit-Level Attainment Rate","クラス別・単元別学力到達率","Per-class share of students reaching unit learning objectives, paired with mastery-pace and concentration of common error patterns (misconception clustering).","Unit tests; formative assessment; digital drill correctness logs","monthly","<80%: re-teaching considered; <60%: critical re-teaching; specific misconception pattern >30%: focused-instruction notification","Homeroom/Subject Teacher (A: Grade Chief)","Trigger AI-assisted misconception classification and targeted re-teaching; integrate with Teach-to-AI activities for deeper repair.","Classroom-level vital sign; the fastest feedback loop for formative correction and the basis for AI-driven misconception clustering."
"T-LVS-02","LVS","Micro","Individual Learning Progress and Mastery Monitoring","個別学習進捗・習得モニタリング","Per-student LMS-derived monitoring of plan-progress ratio, learning density, and the regression slope of recent comprehension scores.","LMS (Google Classroom / LoiLoNote); digital drills; xAPI/cmi5 LRS","daily","-20% vs plan: caution (individual check-in); -40%: warning (1:1 meeting); 3 consecutive days no login: alert; negative comprehension trend: support needed","Homeroom Teacher (C: ICT Support; I: Parent portal)","Initiate tailored adjustment of the learning plan; granularity of view differs between teacher and parent dashboards to protect privacy.","Continuous monitoring of the individual learner; the micro-layer analogue of bedside vital-sign telemetry in clinical practice."
"T-LVS-03","LVS","Micro","Individual Attendance Trajectory and Early Warning Score","出席率推移・早期警戒スコア（個人）","30-day rolling attendance trajectory combined with an ML-derived early warning score (0-100) using attendance trend, tardiness, infirmary use, academic variability, and LMS login decline.","School administrative system; infirmary records; LMS logs (integrated data lake)","daily","2-week downtrend: info (watch); 3-week downtrend: caution (teacher 1:1); EWS >=70: warning (SC referral); EWS >=85: critical (support-team convened)","Homeroom Teacher (A: Vice-Principal; C: SC/SSW)","On EWS escalation, activate Tier-2/3 wraparound support per Learning Pathway; periodically retune FP/FN balance of the predictive model.","Direct PHM analogue of Modified Early Warning Score (MEWS); operationalizes risk stratification at the individual-student bedside."
"M-LRS-01","LRS","Macro","Risk-Stratified Population Distribution","リスク層別人口分布","Distribution of all students across Level 1-4 of the Learning Risk Pyramid (autonomous / at-risk / persistent difficulty / complex difficulty) and deviation from the ideal distribution shape.","Integrated risk-stratification model (multivariate algorithm fusing LVS, SDoL, LE)","quarterly","L3+L4 >20%: policy review; >25%: emergency policy response; deviation index >0.15: structural analysis","Superintendent (R: Education Policy Division; C: Researchers)","Trigger municipal-level resource re-allocation; publish 'net risk rate' adjusted for SDoL alongside the raw distribution.","Direct transfer of the Kaiser Permanente Pyramid; transforms 'uniform support for all' into 'risk-stratified optimal allocation' — the core of PHM applied to education."
"M-LRS-02","LRS","Macro","Predictive Model Accuracy and Fairness","予測モデル精度・公平性指標","Ongoing audit of risk-prediction models on accuracy (AUC-ROC, precision, recall, F1) and group fairness (max-min disparity of FPR across protected attributes).","Model evaluation logs; backtests against realized outcomes","quarterly","AUC<0.75: model improvement required; fairness gap >0.10: bias remediation required; recall <0.70: under-detection risk","Superintendent (R: Data Scientist; C: Ethics Review Board; I: Parent representatives)","Convene model-review and ethics-board session; mandate SHAP-based explainability artifacts before re-deployment.","PHM analogue is clinical-decision-support validation; institutionalizes algorithmic accountability and prevents discriminatory mis-classification."
"M-LRS-03","LRS","Macro","Inter-Tier Movement Rate (Improvement / Deterioration)","層間移動率（改善率・悪化率）","Quarterly transition rates between risk levels, decomposed into improvement (level down), deterioration (level up), and net improvement.","Longitudinal comparison of risk-stratification records","quarterly","Net improvement negative: policy revision; deterioration >15%: emergency analysis; concentrated L2->L3 transitions: 2nd-tier prevention reinforcement","Superintendent (R: Curriculum Supervisor)","Reallocate prevention budget toward the dominant failing transition (e.g., L2->L3); track re-deterioration rate to avoid premature de-escalation.","Analogue of disease-progression tracking in chronic-care registries; flow data is the true measure of system effectiveness, not the stock alone."
"M-LRS-04","LRS","Macro","Compound Risk Accumulation Index","複合リスク集積指数","Share of students carrying risk flags in 3 or more of 5 domains (academic, attendance, behavioral, family environment, health), plus mean flag count among the affected.","Multivariate integration of LVS + SDoL + LE flags","quarterly",">5%: reinforce wraparound support; >8%: emergency response; geographic/school concentration: structural-factor analysis","Superintendent (R: Education Policy Division; C: Welfare Department)","Convene multi-agency case conference (education + welfare + medical + judicial) per integrated case-management protocol.","Mirrors high-cost / high-need patient identification in PHM; compound-risk students live 'in the gaps between systems' and require inter-agency coordination."
"S-LRS-01","LRS","Meso","Within-School Risk Distribution and Inter-Class Deviation","校内リスク層別分布・クラス間偏差","Distribution of Levels 1-4 within the school, plus inter-class deviation analysis to detect risk concentration in specific classrooms.","School-wide integrated risk data","monthly","Inter-class SD >10pp: class-composition review required; concentration index >1.8: targeted support for specific class","Principal (R: Vice-Principal; C: Counseling Coordinator)","Feed into next-year class-composition algorithm; deploy additional in-class support to high-concentration classes mid-year.","Detects iatrogenic risk concentration produced by class assignment; prevents 'risk ghetto' classrooms that undermine equitable outcomes."
"S-LRS-02","LRS","Meso","Early Warning Cohort Monitoring","早期警戒対象者モニタリング","Roster of students whose risk level rose vs the prior month or showed sudden behavioral shift, with tracking of response-action coverage.","Risk monitoring system; intervention logs","weekly","MoM +20%: emergency response; response coverage <70%: support-capacity alert","Vice-Principal (R: Counseling Coordinator; C: SC)","Assign owner within 1 week of escalation; verify intervention quality via subsequent risk-score change rather than action-count alone.","Operationalizes 'rounds' in clinical wards as the weekly case-conference cycle; ensures rising-risk students are never lost between handoffs."
"S-LRS-03","LRS","Meso","RTI/MTPSS Support Tier Distribution and Transition Rate","支援Tier分布・移行率","RTI/MTPSS-based distribution of students across Tier 1-3 with semester-to-semester escalation and de-escalation rates.","School-based support registry; in-house support committee records","monthly","Tier 3 share >5%: specialist-resource verification; Tier de-escalation rate <30%: review intervention effectiveness","Principal (R: Special Needs Coordinator)","Reconcile Tier assignment with LRS Level mapping; trigger intervention-method revision when de-escalation stalls.","RTI/MTPSS is the closest indigenous educational analogue of the Kaiser Pyramid; this indicator harmonizes the two taxonomies for unified action."
"T-LRS-01","LRS","Micro","Individual Risk Score with SHAP Factor Decomposition","個人リスクスコア・要因分解","Composite individual risk score (0-100) with level mapping and SHAP-value decomposition of contributing factors at the individual level.","Integrated risk model (LVS + SDoL + LE features)","weekly","50-69: caution (L2); 70-84: warning (L3); >=85: critical (L4)","Homeroom Teacher (A: Vice-Principal; C: SC; I: Parent — summary only)","Initiate Learning Pathway-defined Tier-appropriate intervention; do NOT disclose raw score to the student; convey factor-level guidance to parents.","Mirrors per-patient risk profiles in chronic-care registries; the SHAP layer is essential for the 'AI symbiosis, not predation' design principle."
"T-LRS-02","LRS","Micro","Automatic Detection of Learning-Behavior Changes","学習行動変化の自動検知","Statistical anomaly detection on LMS behavioral logs (submission rate, login cadence, participation, response patterns) against the student's own 30-day baseline.","LMS behavioral logs (xAPI-compliant)","daily","|Z|>2.0 for 3 consecutive days: auto-alert (teacher); |Z|>3.0: immediate alert (incl. Vice-Principal); multi-indicator co-anomaly: critical","Homeroom Teacher (C: ICT Support; I: Parent on need)","Trigger context-aware false-positive filter (exam periods, school events); on confirmed anomaly, escalate to T-LRS-03 case follow-up.","Continuous telemetry analogue of ICU anomaly detection; catches behavior change before it surfaces in attendance or grades."
"T-LRS-03","LRS","Micro","Individual Intervention History and Effect Tracking","介入履歴・効果追跡（個人）","Individual chart of every intervention applied with pre-post risk-score change (4-week window), cumulative count, and intervention-response rate.","Intervention log system cross-joined with risk-score data","monthly","3 consecutive ineffective cycles: change method; response rate <30%: re-analyze underlying factors","Homeroom Teacher (A: Vice-Principal; C: Special Needs Coordinator)","Re-enter the student into Learning Pathway with adjusted modality; document deviation rationale from the standard pathway.","Educational analogue of the clinical pathway; transforms tacit teacher knowledge into auditable, comparable intervention evidence."
"M-SDoL-01","SDoL","Macro","School Aid Recipient Rate and Economic Hardship Index","就学援助受給率・経済的困窮指数","Share of students in protected / quasi-protected aid categories, combined with welfare-recipient and tax-exempt household shares into a composite hardship index (0-100).","School-aid administrative data; welfare-department data (statistical linkage)","annually",">1.3x national mean: priority area designation; >1.5x: emergency support area; YoY +3pp: trend alert","Superintendent (R: Student Affairs Division; C: Welfare Department)","Trigger application-simplification campaign to reduce non-take-up; weight subsequent resource allocation toward designated areas.","Direct transfer of the income/poverty axis of SDoH; structural determinant of LVS-M01 attainment distribution requiring upstream policy response."
"M-SDoL-02","SDoL","Macro","Multicultural / Multilingual Environment Index","多文化・多言語環境指数","Share of students requiring Japanese-language instruction, Shannon-index linguistic diversity, and interpreter coverage rate combined into a composite.","MEXT Survey on Students Needing Japanese-Language Instruction; foreign-resident statistics; DLA-equivalent assessments","annually","Multilingual share >5%: build multicultural support system; interpreter coverage <50%: emergency response","Superintendent (R: International Education Division; C: Multicultural Affairs)","Expand JSL curriculum and 'plain Japanese' implementation; commission community-interpreter pool.","Analogue of cultural-competence indicators in PHM; equity dimension of SDoL most often invisible in district averages."
"M-SDoL-03","SDoL","Macro","Regional Educational Resource Density and Access Index","地域教育資源密度・アクセス指数","Per-capita density of educational and cultural facilities (libraries, museums, cram schools, NPO learning support, sports venues) weighted by transit accessibility.","GIS integrated facility data; transit network data","annually","Bottom 25% region: complementary policy review; bottom 10%: priority development area","Superintendent (R: Social Education Division; C: Urban Planning Department)","Substitute physical scarcity with digital-resource provision; evaluate isochrone-based access gaps for planning intervention.","Analogue of healthcare-desert mapping in PHM; structural inequity that no single school can remediate on its own."
"M-SDoL-04","SDoL","Macro","Digital Divide Index","デジタルディバイド指数","Household-level composite of broadband connectivity, device ownership, digital literacy, and parental ICT competence, calibrated on GIGA-device usage data.","Home environment survey; MIC ICT-use statistics; GIGA device usage logs","annually",">10% un-equipped: emergency response (device loan / Wi-Fi provision); low-literacy >20%: deploy digital-support program","Superintendent (R: ICT Promotion Division; C: Information Policy Division)","Trigger mobile-hotspot / device-loan program; pair school-based parent ICT literacy program with regular outreach.","21st-century SDoL axis with no PHM precedent in original frameworks; critical for AI-era learning equity and Teach-to-AI feasibility."
"M-SDoL-05","SDoL","Macro","Child Poverty and Multidimensional Deprivation Indicator","子どもの貧困・生活困窮指標","Relative child-poverty rate combined with a deprivation index counting necessities and experiential activities economically out of reach.","MHLW Comprehensive Survey of Living Conditions; municipal child-life surveys; welfare data","annually",">national mean: priority policy area; YoY +2pp: trend alert; deprivation top 20%: direct support program review","Mayor's Office (R: Child Policy Division; C: Superintendent of Education; I: NGO partners)","Convene cross-departmental child-poverty council; route deprivation-flagged students to school-meal expansion and experiential-activity vouchers.","Multidimensional poverty mirrors the WHO SDoH frame more faithfully than income alone; requires city-hall partnership beyond the education board."
"S-SDoL-01","SDoL","Meso","School Catchment SDoL Composite Score","学校区SDoLスコア","Catchment-level composite (0-100) of the five Macro SDoL dimensions, computed via spatial join of GIS school boundaries with source datasets.","Spatial aggregation of macro indicator sources to catchment boundaries","annually","Bottom 20%: priority-support school designation; YoY -5pt: trend alert","Principal (R: School Support Division; A: Superintendent; I: Community representatives)","Provide evidence base for weighted budget allocation to designated priority-support schools.","Translates macro-level SDoH atlases into operational catchment scoring used by managed-care organizations; the bridge between policy and school management."
"S-SDoL-02","SDoL","Meso","Parent Engagement Composite","保護者エンゲージメント指標","Composite of parent participation in school activities, response rate to school communications, event attendance, and parent-conference attendance.","School communication apps (e.g., Manabi-Pocket); event participation records","quarterly","Response rate <60%: improve communication channels; participation <30%: strengthen outreach","Vice-Principal (R: Vice-Principal; C: PTA)","Diagnose root cause (language / working hours / digital literacy) rather than labeling as disengagement; localize and translate communications.","Family engagement is the PHM-PLM analogue of caregiver engagement in chronic care; consistently predictive of learner outcomes."
"S-SDoL-03","SDoL","Meso","Commuting Safety and Local Environment Indicator","地域安全・通学環境指標","Composite of traffic-accident incidence, crime rate, disaster-risk assessment, and commuting-distance adequacy across the school catchment.","Police statistics; GIS data; commuting-route safety audits","annually","Bottom 20% safety index: commuting-route improvement request; serious incident: immediate alert","Principal (R: School Safety Division; A: Superintendent; C: Police, Disaster Prevention Division; I: Parents)","Trigger inter-agency safety review and route remediation; pair with perceived-safety surveys to capture subjective dimension.","Built-environment safety is a direct SDoH transfer; physical safety is a precondition for attendance and engagement."
"T-SDoL-01","SDoL","Micro","Individual SDoL Profile","個人SDoLプロファイル","Five-axis profile (economic, family, cultural, housing, digital) per student, with a composite risk flag triggered when 3+ axes score 2 or below.","Home survey; interview records; welfare data (where linkage is permitted)","annually","Risk flag: case-conference review; deterioration in 2+ axes vs prior wave: urgent verification","Homeroom Teacher (A: Vice-Principal; C: SSW; I: Parent on consent)","Convene wraparound support team; enforce strict role-based access control and purpose-limitation on this profile.","The most sensitive data in PLM; must be paired with the strictest privacy protocols and stewardship to avoid stigma and deficit framing."
"T-SDoL-02","SDoL","Micro","Home Learning Environment and Support System Evaluation","家庭学習環境・支援体制評価","Student-reported assessment of study space, quiet environment, study-time feasibility, parental academic support, and sibling effects on home learning.","Student survey on GIGA devices (early-term); home-visit records","quarterly","Environment score <=2: provide after-school learning support; no support system: provide school-completion learning model","Homeroom Teacher (A: Grade Chief; C: SSW; I: Parent)","Reframe finding as 'school provides what home cannot' rather than labeling the family; allocate space and time accordingly.","Operationalizes the home-environment SDoH dimension at the bedside-equivalent level of the teacher-student relationship."
"M-IE-01","IE","Macro","Policy Intervention Effect Size and Meta-Analysis","政策介入効果サイズ・メタ分析","Municipal-level Cohen's d for pre-post policy effects, combined across schools via inverse-variance-weighted meta-analysis with 95% CI.","Policy-evaluation data (intervention vs comparison groups, RCT or quasi-experimental)","annually","d<0.2: no effect (revise policy); 0.2<=d<0.5: small; 0.5<=d<0.8: medium; d>=0.8: large; Hattie hinge d=0.4 as reference line","Superintendent (R: Education Policy Division; C: Researchers; I: Council)","Trigger systematic review of underperforming programs and reallocation toward d>=0.4 portfolio.","Direct transfer of EBM's effect-size standard to education; ends 'plausibility-only' policy-making in favor of magnitude-comparable evidence."
"M-IE-02","IE","Macro","Educational Program Cost-Effectiveness (ICER)","教育プログラム費用対効果（ICER）","Incremental Cost-Effectiveness Ratio comparing new vs existing programs, defined as cost difference per unit improvement in learning outcomes or risk-level reduction.","Financial accounting × outcome data","annually","ICER above municipal willingness-to-pay threshold: review alternative programs; ROI<0: investment not recoverable","Superintendent (R: Education Policy Division; C: Fiscal Division; I: Council)","Trigger comparative review against What Works Clearinghouse ICER benchmarks; refine indirect-cost allocation rules.","Direct transfer of ICER from health economics; introduces value-based reasoning into educational budgeting beyond per-pupil spending."
"M-IE-03","IE","Macro","Intervention Coverage Rate and Access Equity","介入カバレッジ率・アクセス公平性","Share of eligible students actually receiving interventions, plus access-gap analysis across SDoL attribute subgroups.","Intervention log aggregates cross-tabulated with risk-stratification data and SDoL attributes","quarterly","<80%: improve access; access gap >20pp between subgroups: equity remediation","Superintendent (R: Curriculum Supervisor; C: Principals)","Address the 'inverse care law' (highest-risk receive least support); deploy active outreach to under-covered L3-L4 students.","Core PHM indicator: a treatment that does not reach those who need it most cannot improve population outcomes."
"M-IE-04","IE","Macro","Evidence-Level Distribution and Program Maturity","エビデンスレベル分布・成熟度","Share of municipal programs at each evidence level (L1 RCT, L2 quasi-experimental, L3 observational, L4 expert opinion, L5 anecdote).","Program registry (newly established)","annually","L4+L5 >50%: accelerate evidence-base transition; L1+L2 <20%: strengthen research partnership","Superintendent (R: Education Research Institute; C: Researchers)","Migrate weakest-evidence programs to a research-partnership track for upgrade rather than abrupt termination.","Parallels the GRADE evidence-tier system in clinical guidelines; institutionalizes the gradient from craft to evidence-based practice."
"S-IE-01","IE","Meso","School Intervention Portfolio Effect","学校別介入ポートフォリオ効果","Standardized pre-post effect of each school program plus a portfolio-interaction term capturing synergy or interference across concurrent programs.","Internal evaluation data; intervention logs","quarterly","Any program with no effect: consider alternative; negative synergy: analyze interference; detect 'program overload' (teacher burden exceeds benefit)","Principal (R: Research Chief; C: Curriculum Supervisor)","Retire underperforming programs to reduce burden; document and propagate positive-synergy combinations across the district.","Real-world programs interact; this indicator detects when adding interventions becomes counterproductive — a typical pitfall in well-meaning school reform."
"S-IE-02","IE","Meso","IEP Achievement Rate and Qualitative Evaluation","個別支援計画達成率・質的評価","Per-student IEP goal achievement rate aggregated to the school level, paired with qualitative scores on plan adequacy, parental participation, and multi-professional collaboration.","Individualized education plan management system","quarterly","Achievement <60%: redesign plan; quality score <3: improve plan-formulation process","Principal (R: Special Needs Coordinator; C: Curriculum Supervisor; I: Parent)","Audit goal-setting for 'low-bar' goals; ensure challenging-but-realistic target calibration; engage parents earlier in goal formulation.","PHM analogue is individualized care-plan adherence; quality of the plan itself (not only its execution) determines outcomes."
"S-IE-03","IE","Meso","Effectiveness of AI-Enhanced Education Implementation","AI活用教育の導入効果","School-level effect of AI-enhanced programs (Teach-to-AI, adaptive learning AI, AI-supported lesson design) measured against non-AI baseline, with depth-of-use staging.","AI tool logs × academic data × teacher evaluations","quarterly","d>0.3 vs conventional: effective (scale up); depth of use stuck at level <=2: strengthen professional development","Principal (R: ICT Lead Teacher; C: Researchers; I: Board of Education)","Promote progression from substitution-level use toward Teach-to-AI and co-construction modes; capture co-evolutionary scaffolding landing-space metrics.","Operationalizes the co-evolutionary scaffolding theory; distinguishes shallow AI substitution from deep AI-symbiotic learning."
"T-IE-01","IE","Micro","Single-Case Experimental Design Evaluation of Individual Instruction","個別指導介入のSingle Case Design評価","A-B-A or related SCED evaluation of individual-instruction effects using baseline-vs-intervention level change, slope change, and Percentage of Non-overlapping Data (PND).","Formative-assessment data; behavioral observation records","monthly","PND>70%: effective; 50-70%: equivocal; <50%: ineffective (change method); 3 ineffective cycles: fundamental redesign","Homeroom Teacher (A: Special Needs Coordinator; C: Curriculum Supervisor; I: Parent)","Trigger method substitution per pathway; package SCED basics into teacher professional development.","Brings the rigor of N-of-1 trials into teacher practice; the bedside-research equivalent in education."
"T-IE-02","IE","Micro","Learning Effect of Teach-to-AI Activities","Teach-to-AI活動の学習効果","Effect of teach-to-AI activities on retention, metacognitive change (precision of student explanations to AI), and transfer to novel problems.","AI tool logs (explanation quality, revision count); test data","monthly","Retention ratio >=1.2x: effective; metacognition trend up: deep learning evidence; transfer success >=60%: applied-competence gain","Homeroom/Subject Teacher (A: Grade Chief; C: Researchers; I: Parent)","Analyze AI 'mis-learning' patterns to inform teacher formative-assessment practice; expand Teach-to-AI tasks where retention gains are confirmed.","Direct operationalization of co-evolutionary scaffolding research; learning by teaching, mediated by AI, deepens metacognition beyond conventional methods."
"T-IE-03","IE","Micro","Scaffolding-Stage Effect and Landing-Space Measurement","スキャフォールディング段階効果測定","Effect of scaffolding across introduction-maintenance-fading (or continued AI-partnership) stages, including a landing-success rate four weeks after fading.","Instruction records × formative assessment × LMS logs","monthly","Landing success >=60%: appropriate fading; <40%: premature fading or low-quality scaffold; stable autonomy in AI-partnership stage: co-evolution achieved","Homeroom Teacher (A: Academic Affairs Chief; C: Researchers; I: Parent)","Calibrate fading timing per student; design for sustainable AI partnership when full fading is not the goal.","Direct instantiation of Sasano's co-evolutionary scaffolding theory; evaluates both 'fade-and-go' and 'permanent partnership' models within one framework."
"M-RE-01","RE","Macro","Per-Student Expenditure vs Outcome Value Index","児童生徒一人当たり教育費・成果対比","Per-student educational spending paired with achievement outcomes; Value Index normalizes outcome-per-yen against the national average.","MIC Survey of Local Education Expenditure; Basic School Survey","annually","Value Index <0.8: cost-efficiency concern; deviation from national mean (±2SD): analysis required","Superintendent (R: Education Finance Division; C: Fiscal Division; I: Council)","Always pair with outcome quality to avoid 'cheap but ineffective'; investigate cost-quality dyads jointly.","Operationalizes Value-Based Healthcare principles in education: outcomes per yen rather than inputs alone."
"M-RE-02","RE","Macro","Preventive Investment Ratio","予防的投資比率","Share of education budget allocated to primary-prevention (universal) measures, compared with the share for tertiary (reactive) response.","Budget data classified by intervention tier","annually","Prevention <30%: review allocation; prevention/reactive ratio <1.0: rebalance toward upstream investment","Superintendent (R: Education Policy Division; C: Fiscal Division; I: Council)","Construct multi-year case for prevention investment with projected reactive-cost avoidance; pre-define mapping rules from budget codes to tiers.","Mirrors the PHM finding that upstream investment lowers long-run cost; reframes education budgeting away from reactive crisis spending."
"M-RE-03","RE","Macro","ICT Investment ROI and Utilization Maturity","ICT投資対効果・活用成熟度","ICT investment efficiency (utilization per spend), SAMR-stage utilization maturity, and learning-effect size attributable to ICT-enabled lessons.","ICT inventory; utilization surveys; GIGA device usage logs","quarterly","Utilization <50%: strengthen PD; SAMR <1.5: 'paper-replacement' stagnation; no learning effect: fundamental rethink","Superintendent (R: ICT Promotion Division; C: CIO; I: Teachers)","Move from substitution to modification/redefinition through PD; surface app-category heatmaps to guide practice.","Adapts SAMR as the maturity model; the GIGA program is measured not by device count but by transformation depth."
"M-RE-04","RE","Macro","Teacher Workforce Sustainability Index","教員人材サステナビリティ指標","Composite of recruitment fulfillment, turnover, mental-health long-leave rate, and a derived sustainability index measuring workforce health.","HR personnel system","annually","Sustainability index <70: caution; <60: emergency (accelerate work-style reform); mental-health leave >2%: workplace remediation","Superintendent (R: HR Division; C: Occupational Physician; I: Teachers' unions)","Trigger workload reduction, AI-assisted task offload, and mental-health support; treat workforce as critical infrastructure.","Frames teacher workforce as the human-infrastructure analogue of healthcare staffing crises; degradation cascades into every other PLM domain."
"S-RE-01","RE","Meso","Teacher Work-Time Composition Analysis","教員業務時間構成分析","Breakdown of teacher work hours across instruction, lesson preparation, student guidance, administration, club activities, and PD, with overtime tracking.","IC-card attendance system; teacher self-logging","monthly","Instructional share <60%: business-process improvement; monthly overtime >80h: overwork-line emergency; >45h for 3 consecutive months: early warning","Principal (R: Vice-Principal; C: HR Division)","Shift administrative load to AI/automation; quantify the AI-attributable hour-savings as the basis for further investment.","Operationalizes work-time as a measurable input variable; without it, AI-efficiency claims remain anecdotal."
